image,qp_points,bpp_mean,bitstream_bytes_mean,psnr_y_mean,msssim_luma_mean,psnr_hvs_m_luma_mean,haarpsi_luma_mean
baboon,4,1.6577377319335938,54320.75,34.82055,0.9864900231909565,40.81205710236047,0.9163159458477952
goldhill,4,0.7331161499023438,24022.75,36.16975,0.9829786093582036,39.515053863963345,0.9069303944244449
peppers,4,0.4906463623046875,16077.5,36.60855,0.9840410879647378,39.021228815552384,0.9271741208211425
