image,qp_points,bpp_delta_pct_mean,psnr_rgb_delta_mean,msssim_rgb_delta_mean,psnr_hvs_m_luma_delta_mean,haarpsi_luma_delta_mean
baboon,4,-0.4635000999279526,-0.8632211266033751,-0.0018096700477857608,-0.8212744410197743,-0.007388820506549237
barbara,4,-5.551556366979173,-0.4930335804160757,-0.0004568399127277689,-0.13214818655787752,-0.0020025844941460036
goldhill,4,-4.3127088830903055,-0.3871172638510245,-0.000487930338930298,-0.18143499846832523,-0.0018395403202660365
lenna,4,-3.954271527934295,-0.2981513300633729,-0.0005677443190647558,-0.2212991918971241,-0.0015059745227495036
peppers,4,-4.234849649241867,-0.35736674793457723,-0.000625373216167735,-0.15131699948429933,-0.0013781256787547547
