dataset,image,mode,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
kodak,kodim15,csf,768,512,3729,16,4096,105.44810941271118,4x4:1500; 8x8:495; 4x8:385; 8x4:307; 16x16:247; 8x16:161
kodak,kodim16,baseline,768,512,2713,16,4096,144.93770733505346,8x8:478; 8x4:322; 4x4:320; 16x8:299; 16x4:280; 16x16:233
kodak,kodim16,csf,768,512,4200,16,4096,93.62285714285714,4x4:1022; 8x4:907; 16x4:712; 8x8:379; 16x8:313; 16x16:209
kodak,kodim17,baseline,512,768,4303,16,4096,91.38182663258192,8x8:1049; 4x4:818; 8x4:514; 4x8:511; 16x16:275; 8x16:271
kodak,kodim17,csf,512,768,5301,16,4096,74.17770232031693,4x4:1846; 8x8:915; 8x4:705; 4x8:592; 16x16:270; 8x16:234
kodak,kodim18,baseline,512,768,4540,16,4096,86.61145374449339,4x4:988; 8x8:933; 4x8:589; 8x4:519; 16x16:368; 8x16:268
kodak,kodim18,csf,512,768,8135,16,1024,48.33632452366319,4x4:5216; 8x8:631; 8x4:609; 4x8:593; 16x16:342; 8x16:179
kodak,kodim19,baseline,512,768,3078,16,4096,127.75048732943469,4x4:788; 8x8:438; 4x8:410; 8x4:310; 16x16:224; 4x16:162
kodak,kodim19,csf,512,768,4455,16,4096,88.26397306397307,4x4:2082; 8x4:491; 4x8:474; 8x8:376; 16x16:192; 16x4:168
kodak,kodim20,baseline,768,512,2722,16,4096,144.45848640705364,4x4:674; 8x8:527; 8x4:407; 4x8:238; 16x16:181; 16x4:148
kodak,kodim20,csf,768,512,3912,16,4096,100.51533742331289,4x4:1682; 8x4:601; 8x8:480; 4x8:354; 16x16:167; 16x8:161
kodak,kodim21,baseline,768,512,3883,16,4096,101.26603141900593,4x4:908; 8x4:721; 8x8:714; 16x4:428; 16x8:349; 4x8:235
kodak,kodim21,csf,768,512,7694,16,4096,51.10683649597089,4x4:5220; 8x4:1020; 8x8:362; 4x8:274; 16x4:268; 16x8:163
kodak,kodim22,baseline,768,512,3600,16,4096,109.22666666666667,8x8:712; 4x4:636; 8x4:364; 16x16:348; 4x8:344; 8x16:280
kodak,kodim22,csf,768,512,5730,16,4096,68.62408376963351,4x4:2628; 8x8:653; 8x4:563; 4x8:559; 16x16:326; 8x16:237
kodak,kodim23,baseline,768,512,2111,16,4096,186.2700142112743,8x8:394; 4x4:274; 8x16:256; 16x16:239; 4x8:172; 8x4:135
kodak,kodim23,csf,768,512,2473,16,4096,159.00363930448847,4x4:572; 8x8:365; 16x16:250; 8x4:237; 4x8:217; 8x16:212
kodak,kodim24,baseline,768,512,5728,16,1024,68.64804469273743,8x8:1348; 4x4:1288; 8x4:757; 4x8:711; 8x16:395; 4x16:324
kodak,kodim24,csf,768,512,9720,16,1024,40.45432098765432,4x4:5834; 8x8:936; 4x8:932; 8x4:769; 4x16:289; 16x16:279
