dataset,image,width,height,qp,mode,bitstream_bytes,compression_ratio,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,ssim,xpsnr_y,vmaf,msssim_luma,fsim_luma,haarpsi_luma,psnr_hvs_m_luma,psnr_rgb,msssim_rgb
standard_color,baboon,500,480,22,scalinglist_default,197269,3.649838545336571,6.575633333333333,197.269,41.4328,41.211,41.1551,0.980719,46.3624,95.597532,0.9985008074546909,0.9953293239564703,0.9876766047610731,50.03492540770108,36.657363450243466,0.9963625370090488
standard_color,baboon,500,480,27,scalinglist_default,122365,5.884035467658236,4.078833333333334,122.365,36.4084,36.2183,35.9938,0.937331,41.4004,93.524725,0.9948916761725096,0.9841420572744685,0.9631824964077066,44.06611849009622,31.77206692011429,0.9887898902399505
standard_color,baboon,500,480,32,scalinglist_default,53625,13.426573426573427,1.7875,53.625,31.2404,32.5947,31.2171,0.821013,36.2951,88.01837,0.9830578707824825,0.9453898748468177,0.8964911684601915,36.92478210807266,27.43042100216321,0.9694493434006914
standard_color,baboon,500,480,37,scalinglist_default,21025,34.244946492271104,0.7008333333333333,21.025,27.3295,30.9371,28.7006,0.70307,32.5729,76.663589,0.9607410476770344,0.881497733765024,0.7787267973613204,30.673210232231334,24.60731175095741,0.9397315182823056
standard_color,goldhill,720,576,22,scalinglist_default,110540,11.255292201917857,2.1323302469135803,110.54,41.696,44.6866,42.5745,0.967805,44.8726,95.658668,0.996730202966841,0.985384469922456,0.9851978343065814,47.813775808081154,38.03817580097008,0.9919067616591787
standard_color,goldhill,720,576,27,scalinglist_default,39182,31.753356132918178,0.7558256172839506,39.182,36.6936,42.5106,38.3865,0.92773,40.155,92.019657,0.9888500176995355,0.950563112882216,0.9444641331223335,40.368513761330284,33.97644699708015,0.9789936502872635
standard_color,goldhill,720,576,32,scalinglist_default,17184,72.40223463687151,0.3314814814814815,17.184,33.6546,41.2381,36.9835,0.895952,37.2572,85.686731,0.9740976761222948,0.9001510809024751,0.868915122376401,34.52153319603411,31.6515699229722,0.9619847807297321
standard_color,goldhill,720,576,37,scalinglist_default,7737,160.8065141527724,0.1492476851851852,7.737,31.1343,39.7838,35.675,0.855505,34.8389,74.015575,0.9475752897008269,0.8319712530244066,0.7563223165886201,29.81675047554859,29.53073403023754,0.9323186268691238
standard_color,peppers,512,512,22,scalinglist_default,76993,10.214331172963776,2.349639892578125,76.993,41.2938,41.5111,40.8033,0.954316,45.089,96.162558,0.995557707243146,0.9812102750523412,0.9836488977552516,46.00637532851329,36.78351389738459,0.9892697003783769
standard_color,peppers,512,512,27,scalinglist_default,26426,29.759782032846438,0.80645751953125,26.426,37.0078,39.6347,36.9592,0.909978,40.8357,94.603921,0.9881700220186522,0.9439912727034022,0.9550716267810072,40.58359021267048,33.551991373859614,0.9779357310317861
standard_color,peppers,512,512,32,scalinglist_default,11049,71.17675807765409,0.337188720703125,11.049,34.9139,38.3472,35.4222,0.880545,38.8297,90.852359,0.9805845867691133,0.9136784302946813,0.9146693273127158,36.58049933716872,31.868853644576443,0.9666636290745503
standard_color,peppers,512,512,37,scalinglist_default,6078,129.3899308983218,0.18548583984375,6.078,33.2593,37.1675,34.2073,0.861165,37.2669,83.266614,0.9723110809284763,0.8888543180412181,0.8579132535273329,33.064469348281406,30.468313952325605,0.953457779718081
