image,qp_points,bpp_mean,bitstream_bytes_mean,psnr_rgb_mean,msssim_rgb_mean,psnr_hvs_m_luma_mean,haarpsi_luma_mean
baboon,4,3.2857000000000003,98571.0,30.116790780869593,0.973583322232999,40.42475905952532,0.9065192667475729
goldhill,4,0.8422212577160494,43660.75,33.299231687814995,0.9663009548863245,38.130143310248535,0.888724851598484
peppers,4,0.9196929931640625,30136.5,33.168168217036566,0.9718317100506986,39.058733556658474,0.9278257763440768
