dataset,image,mode,width,height,cu_count,min_area,max_area,avg_area,dominant_sizes
kodak,kodim15,csf,768,512,2536,16,4096,155.05362776025237,4x8:467; 4x4:382; 8x8:249; 8x4:236; 8x16:191; 4x16:182
kodak,kodim16,baseline,768,512,2392,16,4096,164.38795986622074,32x8:294; 8x4:278; 32x4:255; 16x8:253; 8x8:235; 16x4:233
kodak,kodim16,csf,768,512,3141,16,4096,125.18815663801337,16x4:531; 8x4:501; 4x4:380; 32x4:362; 16x8:285; 8x8:223
kodak,kodim17,baseline,512,768,3795,16,4096,103.61422924901186,8x4:611; 8x8:581; 4x8:488; 4x4:486; 16x8:358; 8x16:277
kodak,kodim17,csf,512,768,4163,16,4096,94.45496036512131,8x4:724; 4x4:700; 4x8:606; 8x8:549; 8x16:319; 16x8:293
kodak,kodim18,baseline,512,768,4074,16,4096,96.51840942562592,4x8:628; 8x8:615; 8x4:612; 4x4:560; 8x16:341; 16x8:308
kodak,kodim18,csf,512,768,5716,16,4096,68.7921623512946,4x4:1620; 4x8:1134; 8x4:1024; 8x8:556; 8x16:255; 16x8:229
kodak,kodim19,baseline,512,768,2719,16,4096,144.61787421846267,8x4:437; 4x8:382; 4x4:350; 8x8:282; 16x8:230; 16x4:199
kodak,kodim19,csf,512,768,3644,16,4096,107.90779363336992,8x4:717; 4x4:626; 4x8:602; 16x4:347; 8x8:293; 16x8:248
kodak,kodim20,baseline,768,512,2433,16,4096,161.6177558569667,8x4:402; 8x8:315; 4x4:292; 4x8:286; 16x8:259; 16x4:244
kodak,kodim20,csf,768,512,2740,16,4096,143.5094890510949,4x4:486; 8x4:483; 4x8:384; 8x8:281; 16x8:257; 16x4:226
kodak,kodim21,baseline,768,512,3591,16,4096,109.50041771094402,8x4:816; 4x4:586; 16x4:481; 8x8:404; 16x8:387; 4x8:339
kodak,kodim21,csf,768,512,5193,16,4096,75.72039283651068,8x4:1618; 4x4:1558; 4x8:523; 16x4:479; 8x8:306; 16x8:237
kodak,kodim22,baseline,768,512,2996,16,4096,131.24699599465956,8x8:389; 4x8:344; 8x4:341; 16x8:328; 8x16:285; 4x4:266
kodak,kodim22,csf,768,512,3878,16,4096,101.3965961835998,4x4:720; 8x4:615; 4x8:545; 8x8:352; 8x16:290; 16x8:280
kodak,kodim23,baseline,768,512,1922,16,4096,204.58688865764827,8x16:238; 8x8:231; 4x8:216; 8x4:169; 4x16:168; 16x16:158
kodak,kodim23,csf,768,512,2044,16,4096,192.3757338551859,8x4:269; 4x8:255; 4x4:208; 8x8:208; 8x16:191; 16x8:141
kodak,kodim24,baseline,768,512,4552,16,1024,86.38312829525483,8x4:674; 8x8:645; 4x8:637; 4x4:618; 16x8:381; 8x16:377
kodak,kodim24,csf,768,512,5786,16,1024,67.95990321465607,4x4:1280; 8x4:1077; 4x8:977; 8x8:623; 8x16:377; 16x4:335
standard_grayscale,baboon,baseline,512,512,3016,16,1024,86.91777188328912,8x4:498; 4x8:399; 4x4:394; 8x8:357; 16x8:356; 16x4:332
standard_grayscale,baboon,csf,512,512,4881,16,1024,53.70702724851465,4x4:1310; 8x4:1244; 4x8:801; 16x4:439; 32x4:253; 8x8:242
standard_grayscale,barbara,baseline,512,512,1638,16,4096,160.03907203907204,8x16:241; 8x8:197; 4x16:183; 16x8:180; 4x8:154; 16x16:122
standard_grayscale,barbara,csf,512,512,2326,16,4096,112.70163370593293,4x8:551; 4x16:264; 8x16:217; 8x8:208; 4x4:192; 8x4:191
standard_grayscale,goldhill,baseline,512,512,2352,16,1024,111.45578231292517,8x8:390; 4x8:316; 8x4:254; 8x16:233; 16x8:228; 4x16:184
standard_grayscale,goldhill,csf,512,512,2890,16,1024,90.70726643598616,4x8:487; 8x4:432; 4x4:378; 8x8:366; 16x8:223; 4x16:213
standard_grayscale,lenna,baseline,512,512,1627,16,4096,161.12108174554393,4x8:222; 8x16:202; 8x8:189; 4x4:152; 16x16:144; 8x4:134
standard_grayscale,lenna,csf,512,512,1942,16,4096,134.98661174047373,4x8:338; 4x4:258; 8x8:253; 8x4:209; 8x16:191; 4x16:137
standard_grayscale,peppers,baseline,512,512,1963,16,4096,133.5425369332654,8x8:281; 8x16:243; 8x4:194; 4x8:188; 4x4:180; 16x8:175
standard_grayscale,peppers,csf,512,512,2021,16,4096,129.7100445324097,8x8:282; 8x4:215; 4x4:208; 4x8:203; 8x16:202; 16x8:197
