image,qp_points,bpp_delta_pct_mean,psnr_y_delta_mean,msssim_luma_delta_mean,psnr_hvs_m_luma_delta_mean,haarpsi_luma_delta_mean
baboon,4,-2.0869576343932543,-1.4284750000000006,-0.001589349237598986,-0.5642360542556508,-0.00697562274253502
barbara,4,-4.21855408110695,-0.8079000000000001,-0.0005756747133910112,-0.10146732229584998,-0.0015109349702304986
goldhill,4,-3.632436110489302,-0.6281750000000015,-0.0008233576627729999,-0.24302700354649875,-0.0025994757399117052
lenna,4,-3.7827654885252384,-0.3771500000000003,-0.00028332282356047234,-0.14070573420079668,-0.0015836931819534494
peppers,4,-3.368747848988564,-0.45797499999999935,-0.0004310222013502729,-0.14080451964572482,-0.0012592267947855174
