16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,22,22,22,22,26,26,26,26,32,32,32,32,40,40,40,40
16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,22,22,22,22,26,26,26,26,32,32,32,32,40,40,40,40
16,16,16,16,16,16,16,16,17,17,17,17,20,20,20,20,24,24,24,24,30,30,30,30,38,38,38,38,48,48,48,48
16,16,16,16,16,16,16,16,17,17,17,17,20,20,20,20,24,24,24,24,30,30,30,30,38,38,38,38,48,48,48,48
16,16,16,16,17,17,17,17,19,19,19,19,23,23,23,23,28,28,28,28,35,35,35,35,45,45,45,45,58,58,58,58
16,16,16,16,17,17,17,17,19,19,19,19,23,23,23,23,28,28,28,28,35,35,35,35,45,45,45,45,58,58,58,58
19,19,19,19,20,20,20,20,23,23,23,23,28,28,28,28,34,34,34,34,43,43,43,43,56,56,56,56,72,72,72,72
19,19,19,19,20,20,20,20,23,23,23,23,28,28,28,28,34,34,34,34,43,43,43,43,56,56,56,56,72,72,72,72
22,22,22,22,24,24,24,24,28,28,28,28,34,34,34,34,43,43,43,43,55,55,55,55,71,71,71,71,92,92,92,92
22,22,22,22,24,24,24,24,28,28,28,28,34,34,34,34,43,43,43,43,55,55,55,55,71,71,71,71,92,92,92,92
26,26,26,26,30,30,30,30,35,35,35,35,43,43,43,43,55,55,55,55,71,71,71,71,92,92,92,92,119,119,119,119
26,26,26,26,30,30,30,30,35,35,35,35,43,43,43,43,55,55,55,55,71,71,71,71,92,92,92,92,119,119,119,119
32,32,32,32,38,38,38,38,45,45,45,45,56,56,56,56,71,71,71,71,92,92,92,92,119,119,119,119,155,155,155,155
32,32,32,32,38,38,38,38,45,45,45,45,56,56,56,56,71,71,71,71,92,92,92,92,119,119,119,119,155,155,155,155
40,40,40,40,48,48,48,48,58,58,58,58,72,72,72,72,92,92,92,92,119,119,119,119,155,155,155,155,200,200,200,200
40,40,40,40,48,48,48,48,58,58,58,58,72,72,72,72,92,92,92,92,119,119,119,119,155,155,155,155,200,200,200,200
