distortion,level,seed,qp,feature,primary,n_images,variant,rho_primary,rho_variant
awgn,30,20260811,27,glcm_homogeneity,True,24,levels32,-0.08347826086956517,-0.0660869565217391
awgn,30,20260811,27,glcm_homogeneity,True,24,horizontal,-0.08347826086956517,0.03391304347826091
awgn,30,20260811,32,glcm_contrast,True,24,levels32,0.4782608695652174,0.5695652173913044
awgn,30,20260811,32,glcm_contrast,True,24,horizontal,0.4782608695652174,0.3643478260869565
awgn,30,20260811,32,glcm_entropy,True,24,levels32,0.28260869565217384,0.2599999999999999
awgn,30,20260811,32,glcm_entropy,True,24,horizontal,0.28260869565217384,0.26086956521739124
awgn,30,20260811,32,glcm_homogeneity,True,24,levels32,-0.051304347826086935,-0.03304347826086955
awgn,30,20260811,32,glcm_homogeneity,True,24,horizontal,-0.051304347826086935,0.0426086956521739
awgn,30,20260811,37,glcm_contrast,True,24,levels32,0.6295652173913042,0.6982608695652174
awgn,30,20260811,37,glcm_contrast,True,24,horizontal,0.6295652173913042,0.5165217391304349
awgn,30,20260811,37,glcm_entropy,True,24,levels32,0.368695652173913,0.348695652173913
awgn,30,20260811,37,glcm_entropy,True,24,horizontal,0.368695652173913,0.3295652173913043
awgn,30,20260811,37,glcm_homogeneity,True,24,levels32,-0.2652173913043478,-0.24608695652173912
awgn,30,20260811,37,glcm_homogeneity,True,24,horizontal,-0.2652173913043478,-0.15217391304347827
clean,0,,22,glcm_contrast,True,24,levels32,0.6347826086956522,0.6217391304347826
clean,0,,22,glcm_contrast,True,24,horizontal,0.6347826086956522,0.6704347826086956
clean,0,,22,glcm_entropy,True,24,levels32,0.6704347826086956,0.6895652173913043
clean,0,,22,glcm_entropy,True,24,horizontal,0.6704347826086956,0.6278260869565218
clean,0,,22,glcm_homogeneity,True,24,levels32,-0.7139130434782609,-0.8269565217391304
clean,0,,22,glcm_homogeneity,True,24,horizontal,-0.7139130434782609,-0.6834782608695652
clean,0,,27,glcm_contrast,True,24,levels32,0.6817391304347826,0.6530434782608696
clean,0,,27,glcm_contrast,True,24,horizontal,0.6817391304347826,0.702608695652174
clean,0,,27,glcm_entropy,True,24,levels32,0.7086956521739131,0.708695652173913
clean,0,,27,glcm_entropy,True,24,horizontal,0.7086956521739131,0.6495652173913044
clean,0,,27,glcm_homogeneity,True,24,levels32,-0.7521739130434784,-0.8208695652173913
clean,0,,27,glcm_homogeneity,True,24,horizontal,-0.7521739130434784,-0.7173913043478262
clean,0,,32,glcm_contrast,True,24,levels32,0.7643478260869565,0.7382608695652173
clean,0,,32,glcm_contrast,True,24,horizontal,0.7643478260869565,0.7504347826086957
clean,0,,32,glcm_entropy,True,24,levels32,0.7434782608695651,0.7408695652173912
clean,0,,32,glcm_entropy,True,24,horizontal,0.7434782608695651,0.6608695652173913
clean,0,,32,glcm_homogeneity,True,24,levels32,-0.8052173913043477,-0.8321739130434783
clean,0,,32,glcm_homogeneity,True,24,horizontal,-0.8052173913043477,-0.7443478260869565
clean,0,,37,glcm_contrast,True,24,levels32,0.8304347826086956,0.8
clean,0,,37,glcm_contrast,True,24,horizontal,0.8304347826086956,0.808695652173913
clean,0,,37,glcm_entropy,True,24,levels32,0.7678260869565217,0.7704347826086957
clean,0,,37,glcm_entropy,True,24,horizontal,0.7678260869565217,0.6947826086956521
clean,0,,37,glcm_homogeneity,True,24,levels32,-0.8382608695652174,-0.8243478260869564
clean,0,,37,glcm_homogeneity,True,24,horizontal,-0.8382608695652174,-0.7921739130434783
stripes,8,,22,glcm_contrast,True,24,levels32,0.6617391304347826,0.6556521739130434
stripes,8,,22,glcm_contrast,True,24,horizontal,0.6617391304347826,0.6965217391304348
stripes,8,,22,glcm_entropy,True,24,levels32,0.6704347826086956,0.697391304347826
stripes,8,,22,glcm_entropy,True,24,horizontal,0.6704347826086956,0.6347826086956522
stripes,8,,22,glcm_homogeneity,True,24,levels32,-0.7182608695652174,-0.8269565217391304
stripes,8,,22,glcm_homogeneity,True,24,horizontal,-0.7182608695652174,-0.6956521739130435
stripes,8,,27,glcm_contrast,True,24,levels32,0.7078260869565217,0.7034782608695652
stripes,8,,27,glcm_contrast,True,24,horizontal,0.7078260869565217,0.7234782608695651
stripes,8,,27,glcm_entropy,True,24,levels32,0.691304347826087,0.7095652173913043
stripes,8,,27,glcm_entropy,True,24,horizontal,0.691304347826087,0.6382608695652174
stripes,8,,27,glcm_homogeneity,True,24,levels32,-0.7426086956521739,-0.8191304347826087
stripes,8,,27,glcm_homogeneity,True,24,horizontal,-0.7426086956521739,-0.7086956521739131
stripes,8,,32,glcm_contrast,True,24,levels32,0.7565217391304347,0.7443478260869565
stripes,8,,32,glcm_contrast,True,24,horizontal,0.7565217391304347,0.748695652173913
stripes,8,,32,glcm_entropy,True,24,levels32,0.7330434782608696,0.7443478260869565
stripes,8,,32,glcm_entropy,True,24,horizontal,0.7330434782608696,0.6652173913043478
stripes,8,,32,glcm_homogeneity,True,24,levels32,-0.7869565217391303,-0.8304347826086957
stripes,8,,32,glcm_homogeneity,True,24,horizontal,-0.7869565217391303,-0.7365217391304347
stripes,8,,37,glcm_contrast,True,24,levels32,0.837391304347826,0.8156521739130433
stripes,8,,37,glcm_contrast,True,24,horizontal,0.837391304347826,0.8069565217391304
stripes,8,,37,glcm_entropy,True,24,levels32,0.8060869565217391,0.8
stripes,8,,37,glcm_entropy,True,24,horizontal,0.8060869565217391,0.7295652173913043
stripes,8,,37,glcm_homogeneity,True,24,levels32,-0.8460869565217392,-0.8365217391304347
stripes,8,,37,glcm_homogeneity,True,24,horizontal,-0.8460869565217392,-0.8008695652173913
stripes,16,,22,glcm_contrast,True,24,levels32,0.6860869565217391,0.6434782608695653
stripes,16,,22,glcm_contrast,True,24,horizontal,0.6860869565217391,0.6895652173913043
stripes,16,,22,glcm_entropy,True,24,levels32,0.6226086956521739,0.6869565217391305
stripes,16,,22,glcm_entropy,True,24,horizontal,0.6226086956521739,0.6104347826086957
