distortion,level,seed,qp,feature,primary,n_images,family,reference_index,cell_index,raw_rho_difference,oriented_difference,pointwise_low,pointwise_high,pointwise_invalid_resamples,pointwise_evaluable,pointwise_degenerate,simultaneous_low,simultaneous_high
awgn,5,20260811,22,sobel_si,True,24,RQ2,216,0,0.07913043478260873,0.07913043478260873,-0.029942756494936162,0.23751095530236635,0,True,False,-0.6205953061701798,0.7788561757353972
awgn,5,20260811,22,luma_sd,True,24,RQ2,217,1,-0.02173913043478258,-0.02173913043478258,-0.18843349059908818,0.14792122538293218,0,True,False,-0.7214648713875711,0.6779866105180059
awgn,5,20260811,22,edge_fraction,True,24,RQ2,218,2,0.0391304347826088,0.0391304347826088,-0.08497590889180895,0.21813403416557164,0,True,False,-0.6605953061701797,0.7388561757353973
awgn,5,20260811,22,glcm_contrast,True,24,RQ2,219,3,0.09826086956521729,0.09826086956521729,-0.04374548914427282,0.2899699929254743,0,True,False,-0.6014648713875712,0.7979866105180058
awgn,5,20260811,22,glcm_entropy,True,24,RQ2,220,4,-0.03565217391304354,-0.03565217391304354,-0.1843599825251202,0.12182296231375983,0,True,False,-0.735377914865832,0.664073567039745
awgn,5,20260811,22,glcm_homogeneity,True,24,RQ2,221,5,-0.01826086956521733,0.01826086956521733,-0.11924594476106971,0.18867924528301883,0,True,False,-0.6814648713875712,0.7179866105180058
awgn,5,20260811,27,sobel_si,True,24,RQ2,222,6,-0.008997971926898551,-0.008997971926898551,-0.08920387209714857,0.08154318281455508,0,True,False,-0.708723712879687,0.69072776902589
awgn,5,20260811,27,luma_sd,True,24,RQ2,223,7,-0.06433005091431307,-0.06433005091431307,-0.19693654266958424,0.03498032356799302,0,True,False,-0.7640557918671016,0.6353956900384754
awgn,5,20260811,27,edge_fraction,True,24,RQ2,224,8,0.018878225888671052,0.018878225888671052,-0.06369558240047506,0.12346760070052532,0,True,False,-0.6808475150641174,0.7186039668414596
awgn,5,20260811,27,glcm_contrast,True,24,RQ2,225,9,0.055377651504510905,0.055377651504510905,-0.07641691988683605,0.23410881318485052,0,True,False,-0.6443480894482776,0.7551033924572994
