omitted_source,distortion,level,seed,qp,feature,primary,n_images,family,reference_index,cell_index,raw_rho_difference,oriented_difference
kodim01.png,awgn,15,20260811,37,glcm_entropy,True,23,RQ2,238,94,-0.2509881422924902,-0.2509881422924902
kodim01.png,awgn,15,20260811,37,glcm_homogeneity,True,23,RQ2,239,95,0.02075098814229248,-0.02075098814229248
kodim01.png,awgn,30,20260811,22,sobel_si,True,23,RQ2,216,144,0.24820881658124772,0.24820881658124772
kodim01.png,awgn,30,20260811,22,luma_sd,True,23,RQ2,217,145,0.5891074070284024,0.5891074070284024
kodim01.png,awgn,30,20260811,22,edge_fraction,True,23,RQ2,218,146,-0.48263681491094407,-0.48263681491094407
kodim01.png,awgn,30,20260811,22,glcm_contrast,True,23,RQ2,219,147,-0.2756135566321929,-0.2756135566321929
kodim01.png,awgn,30,20260811,22,glcm_entropy,True,23,RQ2,220,148,-0.46982173390401405,-0.46982173390401405
kodim01.png,awgn,30,20260811,22,glcm_homogeneity,True,23,RQ2,221,149,0.8024001125263149,-0.8024001125263149
kodim01.png,awgn,30,20260811,27,sobel_si,True,23,RQ2,222,150,0.17490118577075076,0.17490118577075076
kodim01.png,awgn,30,20260811,27,luma_sd,True,23,RQ2,223,151,0.4110671936758893,0.4110671936758893
kodim01.png,awgn,30,20260811,27,edge_fraction,True,23,RQ2,224,152,-0.35375494071146235,-0.35375494071146235
kodim01.png,awgn,30,20260811,27,glcm_contrast,True,23,RQ2,225,153,-0.19861660079051396,-0.19861660079051396
kodim01.png,awgn,30,20260811,27,glcm_entropy,True,23,RQ2,226,154,-0.4624505928853754,-0.4624505928853754
kodim01.png,awgn,30,20260811,27,glcm_homogeneity,True,23,RQ2,227,155,0.6739130434782609,-0.6739130434782609
kodim01.png,awgn,30,20260811,32,sobel_si,True,23,RQ2,228,156,0.10573122529644252,0.10573122529644252
kodim01.png,awgn,30,20260811,32,luma_sd,True,23,RQ2,229,157,0.3903162055335968,0.3903162055335968
kodim01.png,awgn,30,20260811,32,edge_fraction,True,23,RQ2,230,158,-0.40711462450592895,-0.40711462450592895
kodim01.png,awgn,30,20260811,32,glcm_contrast,True,23,RQ2,231,159,-0.2658102766798419,-0.2658102766798419
kodim01.png,awgn,30,20260811,32,glcm_entropy,True,23,RQ2,232,160,-0.4397233201581028,-0.4397233201581028
kodim01.png,awgn,30,20260811,32,glcm_homogeneity,True,23,RQ2,233,161,0.7658102766798418,-0.7658102766798418
kodim01.png,awgn,30,20260811,37,sobel_si,True,23,RQ2,234,162,-0.05731225296442688,-0.05731225296442688
