analysis_status,family,seed_summary,seeds,n_seeds,distortion,level,qp,feature,reference_feature,n_images,b_homogeneity,b_other,oriented_difference,definition,family_size,alpha,bootstrap_resamples,simultaneous_low,simultaneous_high,critical_value,evaluable,excludes_zero
exploratory,primary_sigma30,primary,20260811,1,awgn,30,37,edge_fraction,glcm_homogeneity,24,-0.5730434782608695,-0.24521739130434783,-0.3278260869565217,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.0972622130592125,0.44161003914616903,0.7694361261026907,True,False
exploratory,primary_sigma30,primary,20260811,1,awgn,30,37,glcm_contrast,glcm_homogeneity,24,-0.5730434782608695,-0.2008695652173914,-0.37217391304347813,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.141610039146169,0.3972622130592126,0.7694361261026907,True,False
exploratory,primary_sigma30,primary,20260811,1,awgn,30,37,glcm_entropy,glcm_homogeneity,24,-0.5730434782608695,-0.3991304347826087,-0.17391304347826086,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-0.9433491695809516,0.5955230826244299,0.7694361261026907,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,22,sobel_si,glcm_homogeneity,24,-0.7805883456011409,0.16469050241713368,-0.9452788480182746,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.692328410657272,-0.1982292853792772,0.7470495626389974,True,True
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,22,luma_sd,glcm_homogeneity,24,-0.7805883456011409,0.5161375401247403,-1.2967258857258812,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-2.0437754483648787,-0.5496763230868839,0.7470495626389974,True,True
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,22,edge_fraction,glcm_homogeneity,24,-0.7805883456011409,-0.4711390922998637,-0.30944925330127715,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.0564988159402744,0.4376003093377202,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,22,glcm_contrast,glcm_homogeneity,24,-0.7805883456011409,-0.3046153046122982,-0.4759730409888427,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.22302260362784,0.27107652165015467,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,22,glcm_entropy,glcm_homogeneity,24,-0.7805883456011409,-0.5381041864626804,-0.24248415913846044,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-0.9895337217774578,0.5045654035005369,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,27,sobel_si,glcm_homogeneity,24,-0.6704347826086958,0.14724637681159414,-0.81768115942029,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.5647307220592874,-0.0706315967812926,0.7470495626389974,True,True
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,27,luma_sd,glcm_homogeneity,24,-0.6704347826086958,0.4098550724637681,-1.080289855072464,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.8273394177114612,-0.33324029243346664,0.7470495626389974,True,True
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,27,edge_fraction,glcm_homogeneity,24,-0.6704347826086958,-0.365217391304348,-0.30521739130434783,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.0522669539433451,0.4418321713346495,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,27,glcm_contrast,glcm_homogeneity,24,-0.6704347826086958,-0.2191304347826088,-0.451304347826087,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-1.1983539104650844,0.29574521481291033,0.7470495626389974,True,False
exploratory,equal_mean3_sigma30,equal_mean3,20260811;20260812;20260813,3,awgn,30,27,glcm_entropy,glcm_homogeneity,24,-0.6704347826086958,-0.4553623188405798,-0.215072463768116,C = B_homogeneity - B_other; B = s * (rho_noisy - rho_clean),20,0.05,99999,-0.9621220264071133,0.5319770988708814,0.7470495626389974,True,False
