distortion,level,seed,qp,feature,primary,n_images,rho,ci_low,ci_high,ci_invalid_resamples,ci_evaluable,ci_degenerate
awgn,5,20260811,22,sobel_si,True,24,-0.1573913043478261,-0.5477651183172656,0.2726477024070022,0,True,False
awgn,5,20260811,22,luma_sd,True,24,0.033913043478260865,-0.4604299306156982,0.5307994757536042,0,True,False
awgn,5,20260811,22,edge_fraction,True,24,-0.22434782608695653,-0.5951027547004809,0.22623528721956812,0,True,False
awgn,5,20260811,22,glcm_contrast,True,24,0.46,-0.0004372540445998788,0.8154828255478674,0,True,False
awgn,5,20260811,22,glcm_entropy,True,24,0.4408695652173913,0.017112768758227308,0.7275535073558905,0,True,False
awgn,5,20260811,22,glcm_homogeneity,True,24,0.47043478260869565,0.012650397691598356,0.8124479623137603,0,True,False
awgn,5,20260811,27,sobel_si,True,24,-0.038260869565217404,-0.4910362920857018,0.42045779792642424,0,True,False
awgn,5,20260811,27,luma_sd,True,24,0.2860869565217391,-0.11405050698172052,0.5994849421492578,0,True,False
awgn,5,20260811,27,edge_fraction,True,24,0.11217391304347826,-0.32229214039691184,0.5340061430451952,0,True,False
awgn,5,20260811,27,glcm_contrast,True,24,0.5139130434782608,0.12406839105655415,0.7801051707017267,0,True,False
awgn,5,20260811,27,glcm_entropy,True,24,0.6208695652173912,0.2311755778524779,0.8606485539000878,0,True,False
awgn,5,20260811,27,glcm_homogeneity,True,24,0.551304347826087,0.16681299385425813,0.8032356799300393,0,True,False
awgn,5,20260811,32,sobel_si,True,24,0.12173913043478263,-0.3260297984224364,0.5550747523054882,0,True,False
awgn,5,20260811,32,luma_sd,True,24,0.1443478260869565,-0.29184925503943915,0.522558037669733,0,True,False
awgn,5,20260811,32,edge_fraction,True,24,0.25913043478260867,-0.1858034801743038,0.6344589496237518,0,True,False
awgn,5,20260811,32,glcm_contrast,True,24,-0.024347826086956542,-0.4593886462882095,0.4285776777902767,0,True,False
awgn,5,20260811,32,glcm_entropy,True,24,0.08260869565217394,-0.35140097632428907,0.4794418656183263,0,True,False
awgn,5,20260811,32,glcm_homogeneity,True,24,-0.0026086956521738924,-0.4348398420359807,0.4407393640237696,0,True,False
awgn,5,20260811,37,sobel_si,True,24,-0.25652173913043474,-0.605424321959755,0.15334207077326342,0,True,False
awgn,5,20260811,37,luma_sd,True,24,0.14608695652173911,-0.33011010236471167,0.6007005253940454,0,True,False
awgn,5,20260811,37,edge_fraction,True,24,-0.3078260869565217,-0.6424825174825175,0.09106830122591943,0,True,False
awgn,5,20260811,37,glcm_contrast,True,24,0.4304347826086956,0.06093818500657608,0.674682990817665,0,True,False
awgn,5,20260811,37,glcm_entropy,True,24,0.408695652173913,0.02101392477924882,0.6535104986876641,0,True,False
awgn,5,20260811,37,glcm_homogeneity,True,24,0.4330434782608696,0.05969365083514161,0.6774475524475525,0,True,False
awgn,15,20260811,22,sobel_si,True,24,0.09652173913043477,-0.35764820420708704,0.538333501802622,0,True,False
