feature,variant,distortion,level,seed,qp,n_images,descriptor_rank_rho,cu_count_rank_rho,rho_clean,rho_noisy,clean_mean,clean_sd,clean_iqr,clean_min,clean_max,clean_range,clean_unique_values,clean_exact_one_count,noisy_mean,noisy_sd,noisy_iqr,noisy_min,noisy_max,noisy_range,noisy_unique_values,noisy_exact_one_count
sobel_si,primary,awgn,5,20260811,22,24,0.9991304347826087,0.9495652173913044,0.5539130434782609,0.6330434782608696,86.76512355807665,24.928701610454887,28.903198983501156,51.75380456078816,157.11382891853802,105.36002435774986,24,,84.62383894903172,24.87690253437759,27.818430168416967,50.09481884183531,154.61805570831865,104.52323686648333,24,
luma_sd,primary,awgn,5,20260811,22,24,0.9999999999999999,0.9495652173913044,0.11130434782608695,0.08956521739130437,47.60766195452893,14.232016845913195,10.215770993899035,20.593882796303294,87.18909645914603,66.59521366284274,24,,47.7705050583883,14.018697829191044,10.14619637276072,21.168283062692144,86.56431407151325,65.39603100882111,24,
edge_fraction,primary,awgn,5,20260811,22,24,0.9939130434782608,0.9495652173913044,0.7869565217391303,0.8260869565217391,0.31682665233195106,0.1468195313867354,0.2118555777402345,0.11404290175600267,0.6525700097271284,0.5385271079711258,24,0,0.3454688859878155,0.1464212793656163,0.21988813802283314,0.14215174320380894,0.6738596221778529,0.5317078789740439,24,0
glcm_contrast,primary,awgn,5,20260811,22,24,0.966086956521739,0.9495652173913044,0.6347826086956522,0.7330434782608695,0.4277335816230643,0.25930318910845895,0.2522012967730025,0.16710404264322667,1.1643228904214835,0.9972188477782569,24,,0.5108459109968168,0.25030970300051514,0.24372193137880616,0.2163681337717382,1.2263572792789403,1.009989145507202,24,
glcm_entropy,primary,awgn,5,20260811,22,24,0.9739130434782608,0.9495652173913044,0.6704347826086956,0.6347826086956521,2.3654332276100907,0.3857020941997733,0.3933056182368171,1.1660324757786817,3.1428731738348312,1.9768406980561495,24,,2.516800954748864,0.36182863289796247,0.32173885196827134,1.296001622317009,3.207790414543193,1.9117887922261838,24,
glcm_homogeneity,primary,awgn,5,20260811,22,24,0.9617391304347824,0.9495652173913044,-0.7139130434782609,-0.7321739130434782,0.8716240512044277,0.05409499919977894,0.06622044725747345,0.7469746214726523,0.9372633966933883,0.19028877522073606,24,,0.8333125490697991,0.048933615704033075,0.053178474402235776,0.7282887590519052,0.9132864165598893,0.18499765750798414,24,
glcm_contrast,levels32,awgn,5,20260811,22,24,0.9991304347826087,0.9495652173913044,0.6217391304347826,0.6852173913043478,5.432155634030951,3.9693098218884812,3.613699446852203,1.8581172909591763,17.126638770827647,15.26852147986847,24,,6.184483413259106,3.9510044022484454,3.604661710826945,2.65585431026104,17.821339615622882,15.165485305361843,24,
glcm_entropy,levels32,awgn,5,20260811,22,24,0.9913043478260869,0.9495652173913044,0.6895652173913043,0.6860869565217391,4.557684008151786,0.5560463504237281,0.5715063649947041,3.224283710099381,5.607529771250913,2.3832460611515325,24,,4.8971958173799655,0.45253597498098963,0.4333246355388036,3.6956980257293917,5.752383721445692,2.0566856957163,24,
glcm_homogeneity,levels32,awgn,5,20260811,22,24,0.988695652173913,0.9495652173913044,-0.8269565217391304,-0.8034782608695652,0.6574791114668138,0.1027615056417906,0.14117647526503507,0.42096069806493797,0.8034001164621348,0.38243941839719686,24,,0.5352098824011756,0.06869803481702316,0.08531661883165653,0.3828461424520524,0.6817216450594186,0.2988755026073662,24,
glcm_contrast,horizontal,awgn,5,20260811,22,24,0.9756521739130434,0.9495652173913044,0.6704347826086956,0.7417391304347826,0.3208253672142966,0.20701243688564883,0.24541230627865576,0.1227998696219035,1.0011408083441982,0.8783409387222947,24,,0.41007854314833464,0.19782155619763572,0.2234414589529854,0.17688895453063885,1.0679290254237288,0.8910400708930899,24,
glcm_entropy,horizontal,awgn,5,20260811,22,24,0.9713043478260868,0.9495652173913044,0.6278260869565218,0.606086956521739,2.2746677419141808,0.37061545193154344,0.38671099177547363,1.1162200986713104,3.05564129780395,1.9394211991326396,24,,2.448716476722986,0.34555934110962533,0.2956289572478368,1.261651426350004,3.1359280686601094,1.8742766423101054,24,
glcm_homogeneity,horizontal,awgn,5,20260811,22,24,0.94,0.9495652173913044,-0.6834782608695652,-0.7626086956521738,0.8946888240990537,0.047316472775981694,0.05812988676729047,0.7867555598113505,0.9496778709728801,0.16292231116152966,24,,0.8525099840720028,0.042185018069667894,0.051800501050517256,0.7598457833460279,0.9235532020340604,0.1637074186880325,24,
sobel_si,primary,awgn,5,20260812,22,24,0.9991304347826087,0.9497717119500987,0.5539130434782609,0.6401391758198467,86.76512355807665,24.928701610454887,28.903198983501156,51.75380456078816,157.11382891853802,105.36002435774986,24,,84.63116718354793,24.863507379892514,27.573269467773912,50.10089474464401,154.60009572705053,104.49920098240652,24,
luma_sd,primary,awgn,5,20260812,22,24,0.9999999999999999,0.9497717119500987,0.11130434782608695,0.08436616855234393,47.60766195452893,14.232016845913195,10.215770993899035,20.593882796303294,87.18909645914603,66.59521366284274,24,,47.766100809553166,14.014494235213624,10.165330464556853,21.165685551091443,86.5404101699505,65.37472461885906,24,
