distortion,level,seed,qp,feature,primary,n_images,source,oriented_feature_change,log_density_ratio,density_change_percent
awgn,5,20260811,22,sobel_si,True,24,kodim01.png,-1.749981961139099,0.037984364345475884,3.8714991762767603
awgn,5,20260811,22,sobel_si,True,24,kodim02.png,-1.6589857189528487,-0.13549493959082143,-12.671641791044784
awgn,5,20260811,22,sobel_si,True,24,kodim03.png,-2.4685694720540923,0.15600682885205167,16.883418485833722
awgn,5,20260811,22,sobel_si,True,24,kodim04.png,-1.4611495091609825,0.05980444543254505,6.162891986062702
awgn,5,20260811,22,sobel_si,True,24,kodim05.png,-1.8125908361756444,-0.03938805860722669,-3.862243408891919
awgn,5,20260811,22,sobel_si,True,24,kodim06.png,-2.4243037246820904,0.011667426294829851,1.1735756199129366
awgn,5,20260811,22,sobel_si,True,24,kodim07.png,-3.1756771420500485,0.05387061540185108,5.534804753820044
awgn,5,20260811,22,sobel_si,True,24,kodim08.png,-2.495773210219369,-0.04025001340727423,-3.9450741063644212
awgn,5,20260811,22,sobel_si,True,24,kodim09.png,-2.604367002480174,0.2816613456735727,32.53298153034301
awgn,5,20260811,22,sobel_si,True,24,kodim10.png,-2.442580565834703,0.08323195314709264,8.67938645716424
awgn,5,20260811,22,sobel_si,True,24,kodim11.png,-2.3688989045606093,0.062096064482699484,6.406455862977589
awgn,5,20260811,22,sobel_si,True,24,kodim12.png,-1.972136700243965,0.1126542932622973,11.924493554327809
awgn,5,20260811,22,sobel_si,True,24,kodim13.png,-1.217064737942266,-0.02115066081599678,-2.0928554245850384
awgn,5,20260811,22,sobel_si,True,24,kodim14.png,-1.3086031877189725,0.029705154413915694,3.015075376884413
awgn,5,20260811,22,sobel_si,True,24,kodim15.png,-2.346976025848136,0.16295200402429477,17.69801980198018
awgn,5,20260811,22,sobel_si,True,24,kodim16.png,-2.101261765968438,0.07609363193466702,7.90636042402828
awgn,5,20260811,22,sobel_si,True,24,kodim17.png,-1.9824146917851948,-0.0391167906915704,-3.836160782515674
awgn,5,20260811,22,sobel_si,True,24,kodim18.png,-1.768642060431361,0.1146273943856975,12.145549909850839
awgn,5,20260811,22,sobel_si,True,24,kodim19.png,-2.2820052616068267,0.18068238741435538,19.80346079897457
awgn,5,20260811,22,sobel_si,True,24,kodim20.png,-2.2150320607389773,0.20069347372713184,22.225006264094226
awgn,5,20260811,22,sobel_si,True,24,kodim21.png,-3.0738653521064947,0.11009069003322783,11.637931034482762
awgn,5,20260811,22,sobel_si,True,24,kodim22.png,-1.7199141272039213,0.1009215620729379,10.618987111998557
